degree,values
1,"[0.4226439457933837, 0.5077133059428721, 0.4215071813892458, 0.4750777237869569, 0.4574091664175484, 0.42690821578047516, 0.4370160244488209, 0.4030639595256933, 0.5077133059428725, 0.4759631494779677, 0.4568502517478569, 0.3945122964762389, 0.41973343559124876, 0.4759631494779681, 0.4429232576222508, 0.43079084925946304, 0.4102382907602525, 0.4078879094259614, 0.390297333842968, 0.43060534635049225, 0.38704798475835406, 0.5097955791041594, 0.44602702940849087, 0.447213595499958, 0.44173104224374826, 0.42871118349613496, 0.4434107964124001, 0.3912282945541462, 0.47348692531394654, 0.4501294201851615, 0.4772599964740197, 0.4772599964740202, 0.5000000000000001, 0.41121211214330106, 0.4345411143566677, 0.43701602444882104, 0.4233091217830504, 0.4472135954999574, 0.5097955791041591, 0.37581969068634113, 0.5077133059428726, 0.41524406420721227, 0.4058326019922994, 0.5077133059428726, 0.5027541397817581, 0.363948008183327, 0.4219485719431955, 0.42168445951720296, 0.4207305205305766, 0.463684383195856, 0.4640528181766126, 0.3849119991188653, 0.4192105196082854, 0.3499310672207892, 0.5077133059428728, 0.4375731440784186, 0.41699965523910326, 0.3735694332339255, 0.4370160244488209, 0.3827752287796743, 0.4429987550051187, 0.3949540496200157, 0.4022911089946804, 0.47188379883968, 0.45309853207653183, 0.5077133059428725, 0.48314264981136934, 0.37175509927456096, 0.3794733560586593, 0.4672180247062175, 0.4649721404092946, 0.4820872542973956, 0.4724709592253412, 0.5027541397817583, 0.4772599964740195, 0.4246432260856734, 0.5027541397817582, 0.5, 0.4486172806700548, 0.4400443585121928, 0.40124453712316155, 0.6180339887498948, 0.5549581320873711, 0.4688225200230984, 0.4389018727030037, 0.46821319246213566, 0.4062540457032805, 0.39279429101601837, 0.47115914884822885, 0.38735070757646417, 0.5, 0.4256514433188531, 0.456850251747857, 0.46982822983134004, 0.397466037765248, 0.447213595499958, 0.4556958738072366, 0.5000000000000002, 0.4245754759701821, 0.438755580002379]"
2,"[0.34394274901354943, 0.30109354757708345, 0.32910635637254676, 0.33541259011534547, 0.31472298796164705, 0.4246011255904753, 0.34594206084886453, 0.34772163506543197, 0.3068335294989949, 0.3551189246014264, 0.3153419967549426, 0.31599895894669827, 0.32398365195207857, 0.35005518853166073, 0.33595705886483523, 0.38285901276509393, 0.3436305964927866, 0.3562830422010969, 0.3669455619906228, 0.31574839856798614, 0.34129302947232204, 0.35014872338096964, 0.32480223406531383, 0.31930927357653166, 0.3367569978674029, 0.3477720700000436, 0.3651009066391028, 0.33204458785910873, 0.3869484613840546, 0.3760712114568539, 0.33955979510270246, 0.32479007723064957, 0.3102368827344531, 0.34815875702840343, 0.3448842841010685, 0.3593182133822703, 0.344545058784146, 0.2980974985939182, 0.3732077927723576, 0.34926985122629695, 0.36372715525135046, 0.34950290616598545, 0.3350234529645291, 0.39539494571734907, 0.3415680044035716, 0.3346914577914263, 0.3501506407403598, 0.3805731109092166, 0.36622249935909, 0.303120807051832, 0.37098185136741507, 0.30175034047906873, 0.32204716491726776, 0.3587414282797527, 0.37303933576664866, 0.30094289540677893, 0.3566781801196752, 0.3609820649287398, 0.33508333118960976, 0.31936724207471173, 0.37245362843585045, 0.3825199414363327, 0.33784223110807426, 0.35312740416413, 0.34859276463567157, 0.3310958136187185, 0.35828523920517596, 0.310583310507466, 0.33211682088204264, 0.3746387127175373, 0.3320087300218955, 0.39850696798114904, 0.3266656327729462, 0.372588300095147, 0.40598277731752225, 0.39693308236716046, 0.3183093743517987, 0.32407436760376795, 0.3074077487615758, 0.3658468076026814, 0.36636733454868475, 0.3960240950376514, 0.32807635293957094, 0.34492471737853103, 0.3111415554076164, 0.3025847745974906, 0.3119375213429207, 0.3175976906642032, 0.37051495885995, 0.3479404087768956, 0.3190703779604042, 0.3268001844861271, 0.3470590307881549, 0.3573768573364091, 0.33932813809256535, 0.36669485991146683, 0.3840955978801035, 0.32624350237219873, 0.3376117186555111, 0.3261378101093711]"
3,"[0.29849610111043223, 0.3204587050918651, 0.2987718666689975, 0.2859046159158843, 0.2809263266166924, 0.29745364227658744, 0.28804031792970797, 0.29343884481505345, 0.27859203347378303, 0.2758288119982815, 0.2564850583994811, 0.2728630356006021, 0.27399479787089054, 0.27269381238951335, 0.26510460169307215, 0.27966914391089287, 0.28785413301022045, 0.28835868928079295, 0.29178736285284457, 0.29105986438413045, 0.3315509349249658, 0.2898435079101205, 0.28043299133969957, 0.3043354487487581, 0.2890270683719186, 0.2785109745768571, 0.3188647645212627, 0.30834257696686873, 0.2925252237520181, 0.28443672421676874, 0.27267391452680106, 0.2799654219857224, 0.3008305628606893, 0.3087039985460513, 0.2901441870754244, 0.30234768353257846, 0.29400081259240346, 0.29949325735236804, 0.264002637911735, 0.27715330374939207, 0.27835150606189984, 0.26108168249938823, 0.28269337803265787, 0.2939308120959647, 0.32330586840033576, 0.2993124576091614, 0.3078363224523915, 0.27239575831559826, 0.28295193591495105, 0.27308543685773434, 0.30527757444090753, 0.28840768609047646, 0.2903077104936952, 0.2862832371996456, 0.28700973885329834, 0.31239449023868565, 0.28951456708625145, 0.2829622801087395, 0.2939112067109848, 0.28566184673502903, 0.2972416216902653, 0.27512180060544006, 0.2975597072034669, 0.2900114887127557, 0.2789359753772208, 0.3129263753994058, 0.2864657383638448, 0.25265199525432874, 0.2950201754943145, 0.31527430034228715, 0.3017947690319489, 0.29303879047418374, 0.2912486852292963, 0.27596791052811614, 0.3244095289761284, 0.3093409048392687, 0.31917665042583376, 0.2915935390128355, 0.27037591089144214, 0.2925206183506209, 0.28470884976931254, 0.27290288715320515, 0.3057417299772862, 0.3122691719443592, 0.2755051919496653, 0.2839035146464166, 0.3015013362840155, 0.30909909144271275, 0.3064003398010662, 0.28991658693259, 0.29088605733273964, 0.28822807004393153, 0.3264444754048101, 0.26473228635462104, 0.26648911102996126, 0.2783312372759457, 0.3552952664911769, 0.29267550121443314, 0.2507671206776137, 0.2884557621033208]"
4,"[0.2718486741522364, 0.24920726224905082, 0.26611778196348945, 0.24598798860994595, 0.2646713667128725, 0.26956230755293625, 0.2502628212488156, 0.2685367907108669, 0.27372684296638516, 0.27884163803075823, 0.2600642473165202, 0.262408824553012, 0.27753155425546233, 0.2607950227007736, 0.30851007844957734, 0.2558066120496729, 0.24990002299202826, 0.24616324230647096, 0.25097487148335645, 0.2393848133421955, 0.2502708454324837, 0.27228608521112446, 0.2660542447662153, 0.23900594473184808, 0.2509542637402738, 0.23833519422924426, 0.2471738182153933, 0.262277505472899, 0.2759263379172593, 0.23979246200438467, 0.26920492258461814, 0.22930018062156313, 0.2581157861134406, 0.2522542772849771, 0.2585991402107163, 0.2896914204447775, 0.23776542900381148, 0.24468891934068235, 0.2722191999760812, 0.2551545138682407, 0.2844967203823815, 0.24203734624256446, 0.25195013160215, 0.2659765080349827, 0.280546938819375, 0.24392562050686073, 0.26301234913504873, 0.22136621657374148, 0.23565573567506298, 0.24241829259667597, 0.23665672976027108, 0.2657693372334784, 0.2691512803881841, 0.25214194703356063, 0.2475681098171944, 0.2755197868338508, 0.27480239532039724, 0.2533661389148888, 0.27874924273477253, 0.2849299065693083, 0.2874248200709668, 0.28532716666801716, 0.2721256866528293, 0.25490187544519743, 0.29975110181538384, 0.25047524462790105, 0.22958617765992317, 0.24147629318783173, 0.26178127515360317, 0.234918599001829, 0.24031094511287016, 0.248431143503569, 0.24602685428451904, 0.2922760238174346, 0.25066102004277424, 0.25398279785617767, 0.28953287836256675, 0.24340650258228588, 0.24638992815130603, 0.2545568675806621, 0.25714810422312645, 0.24206734613827832, 0.24015957279558023, 0.26012715371865297, 0.26798853452628424, 0.26199443790662813, 0.2603053365330965, 0.24091939443346622, 0.2614267886070572, 0.26868612440887735, 0.26566383449153574, 0.24623256794700724, 0.2562926716275024, 0.25319296912427325, 0.2576668070755209, 0.24517624363095195, 0.27038948015298947, 0.28653608893369936, 0.2591954939500374, 0.2879996595500861]"
5,"[0.24427384560534235, 0.23697453096225965, 0.22389390839893952, 0.23631874843526918, 0.24324687728844713, 0.24445733143721987, 0.24920001080977627, 0.24532949062029336, 0.2292079968444902, 0.2365190449844362, 0.2325195352567477, 0.20543690505224024, 0.2506550672557964, 0.2272120882593231, 0.24430424600735504, 0.2607062643055202, 0.2423062273111244, 0.2496022343604399, 0.22463469914713582, 0.234846745459052, 0.23960428934572583, 0.2424145306299698, 0.23187374671750627, 0.23136299833371707, 0.23980702258894157, 0.21554487466043934, 0.24238053092690415, 0.24236599731759645, 0.2492144796007138, 0.24318399447808972, 0.2360405157260089, 0.22441594517970337, 0.2362551780848379, 0.2193214934472317, 0.24446808822900734, 0.22952017651407966, 0.23144717609634433, 0.23818336181111419, 0.2472521237237744, 0.23527698099570943, 0.21039003469372022, 0.23257460717639894, 0.2428950001996394, 0.21436244089050777, 0.22366597070399827, 0.23506726235306344, 0.24786372556619102, 0.24693791996400724, 0.23120877230760647, 0.2319181810545764, 0.22651645564574038, 0.23413486374119324, 0.2328393227547792, 0.24737640850536038, 0.22657158709313585, 0.23885139572911135, 0.23406962485396893, 0.23567172569236422, 0.23563028112830736, 0.23129517163729837, 0.2188474098095569, 0.24096542431589388, 0.22718591562822973, 0.21402200313872927, 0.23186005270127974, 0.2193197843907215, 0.23332044908952884, 0.2203554345963172, 0.24364669417189344, 0.24287093567444373, 0.23402576765936361, 0.23655605714373032, 0.22588421779910103, 0.22978695695487186, 0.24706138169295902, 0.23259101096313836, 0.22453887734657152, 0.24518328325157607, 0.2354086755093452, 0.22004349921416994, 0.2272623140058657, 0.23978724508757077, 0.23806312340925642, 0.22672771992844049, 0.24588744990623573, 0.23858572193283897, 0.227739934981736, 0.249282583960942, 0.22461555564069408, 0.2538669671345459, 0.2389962917807937, 0.2353876052625524, 0.24589999332682103, 0.22347010545228066, 0.2258099028731511, 0.2328324612705669, 0.24318925245659512, 0.23837314380033472, 0.24700752316529126, 0.24096783437689429]"
6,"[0.23534168315961726, 0.20876017824371038, 0.22841254431790717, 0.2036956056147628, 0.22608721509298826, 0.2292072136653597, 0.22611215021419628, 0.2138068119083032, 0.21407363543573363, 0.20633873006765382, 0.23606684532539757, 0.2116348687178807, 0.23395459781724692, 0.21703597297834992, 0.21984598750923623, 0.20939180051989248, 0.20734293808508, 0.21877284786483264, 0.24321702808988768, 0.23367460003592377, 0.2184680456008448, 0.22893263679487133, 0.2132067897445977, 0.21699639141068755, 0.21373442753365002, 0.22399123058199225, 0.22683837678913765, 0.20866988773627443, 0.251106002853381, 0.2243987500699209, 0.2288995952781794, 0.22299138095502383, 0.2168815152086327, 0.21837308758496224, 0.19700253619198269, 0.2173628682455791, 0.21051023680248768, 0.22586155217102194, 0.20295127915730587, 0.21927913170743166, 0.21983010731884156, 0.21563886128541684, 0.22941535063125484, 0.21527899828968708, 0.22917492553972532, 0.21716287780540294, 0.2094521906779671, 0.2031049806341166, 0.18727865835403795, 0.21072800899923746, 0.1978425917984747, 0.20345385918736628, 0.21218561897290822, 0.22166669661883603, 0.22705212388563564, 0.2230306808711319, 0.21283545063390702, 0.21787847524466508, 0.21751997254604816, 0.23144505868048937, 0.22618147595594626, 0.22050257058386039, 0.20935459787838454, 0.22171979705043218, 0.2125888342216166, 0.22824398362444767, 0.23783482295726152, 0.22640117638020094, 0.22552452300221507, 0.23232866753245524, 0.23306091351226435, 0.2209462726122014, 0.21613236510696793, 0.2171489853526991, 0.23278641726990174, 0.2010962642237276, 0.23408982233468956, 0.21798022303910336, 0.23970205155079324, 0.20986294098678185, 0.23003122782399707, 0.2102309830123665, 0.22421769048728193, 0.2186855515010659, 0.211121433985354, 0.21814145987556766, 0.20708992101094445, 0.22391692726255794, 0.21242303835661686, 0.22958304922254097, 0.23408427679576013, 0.22972366667836647, 0.20347131816751457, 0.23618296506646771, 0.22947440985548032, 0.20972734000254284, 0.20005268823982686, 0.2131109129847444, 0.20761454650640163, 0.19759536281987725]"
7,"[0.20294921008892003, 0.1982744847379237, 0.19312005915978162, 0.21171127809130202, 0.18941603664838716, 0.20713112919713053, 0.20621317095201716, 0.20413607954770416, 0.20228185806013602, 0.22270162717600453, 0.1888850505127761, 0.20713737418534747, 0.19323340833803457, 0.20361343019894249, 0.20807213041389688, 0.19408878549413877, 0.20609901311398207, 0.2028013909222838, 0.18438115070910982, 0.2168817847717122, 0.20518941660010231, 0.19618853173495274, 0.2168329310624975, 0.21170287984435904, 0.1986194213485475, 0.19423957934236472, 0.21022920778306867, 0.21074598144076787, 0.19705803195902355, 0.1958794029245434, 0.22245510749366582, 0.18623379903180096, 0.21982221729242704, 0.2143125431366495, 0.2080486878496869, 0.19704576710668273, 0.21833237468727462, 0.2129240498156002, 0.18688946654403346, 0.20942507271020971, 0.2013527612021791, 0.18927672320084643, 0.195022856100402, 0.20270552687264506, 0.20499294702530263, 0.2093315113534343, 0.21692975719633947, 0.2004608694534658, 0.2058797654058893, 0.2152984905955241, 0.21015668693359157, 0.19418711515214018, 0.20137361442755852, 0.2074461005691565, 0.20572575990949873, 0.22033271144653072, 0.20662723301115732, 0.19074817343089362, 0.19694051397047885, 0.188973996926719, 0.2223832045320282, 0.21225271567333323, 0.21768217330894823, 0.22554091762990566, 0.1832239016374011, 0.204415040791044, 0.19769267574438293, 0.1923935815105335, 0.2043079383182258, 0.20665352420876834, 0.19903398988131196, 0.2156044622795609, 0.22920779651437778, 0.2039121486356075, 0.1883397346671753, 0.19461345550595965, 0.2218677812548067, 0.20478195080840617, 0.2026585771780695, 0.20341470982180615, 0.2099777889812182, 0.20596346578704025, 0.20948351336256082, 0.2061023233398273, 0.18524806464569524, 0.19326843710283187, 0.20745065614106362, 0.21923990676260877, 0.20469397041583942, 0.22444478351133587, 0.22525836754027592, 0.20835140947155448, 0.21388951546550614, 0.19659010411810934, 0.20864235542219375, 0.19529206427418722, 0.21230555840689075, 0.1999715708266937, 0.19232063790473114, 0.2084857431711684]"
8,"[0.19592753838686172, 0.1901946187849537, 0.19426776207152005, 0.19832876088615822, 0.1922016618964878, 0.19725318722789575, 0.18879989246464352, 0.19513476299892496, 0.18763619933207537, 0.1935575707328524, 0.19445124084190252, 0.19520922904701005, 0.1805229593783506, 0.2076079471494666, 0.18613496349641315, 0.2073383674687114, 0.19523731529535496, 0.20589956286724972, 0.18571341172408842, 0.20307367208422433, 0.18073717986927215, 0.168383198675931, 0.21889492939255864, 0.20254000234478448, 0.18634640848356127, 0.2183531927251278, 0.19236280478273007, 0.18919465542992078, 0.199441826887692, 0.20155354358184496, 0.19886789270779875, 0.1937614228190338, 0.20069832519959227, 0.20156533556975795, 0.20934709424270992, 0.2095003646375978, 0.18520261903325955, 0.17632822169814044, 0.1724252130502251, 0.18234716790336516, 0.1974202924915386, 0.18350857989999125, 0.1952705596599113, 0.20621749409720058, 0.192742796356278, 0.19711072738299829, 0.19963355314792758, 0.1958856500298607, 0.20645223793188947, 0.19022229914679586, 0.19903437199693966, 0.19141323913516958, 0.17734385496980878, 0.18799331064793134, 0.19528455031914613, 0.19053284136910595, 0.18145247535509648, 0.19746224569832804, 0.20018345055976153, 0.19879469696343222, 0.19507969468072509, 0.19447541114467798, 0.19333401543668408, 0.19704932200670203, 0.18948663915460165, 0.19054309327928248, 0.2072923343013975, 0.19783610839226448, 0.20107274320667712, 0.1944584070086597, 0.20833008933617983, 0.18590756368319028, 0.18583988700663454, 0.18946183871812675, 0.20766118413722245, 0.1940252181402749, 0.20613564649029628, 0.20283303526297664, 0.18668078702240468, 0.1997410292207172, 0.19330759351250007, 0.18912828227835948, 0.19253393391272564, 0.20262546632675474, 0.20459513134095872, 0.179052118620584, 0.19299283474128667, 0.19171727101377734, 0.19145507537918877, 0.18613221349026163, 0.205137548753172, 0.1962332055664307, 0.18826664842256152, 0.22302029276245486, 0.19244839795330262, 0.21241993218777447, 0.18710596720510894, 0.18771112034916862, 0.19538721822430333, 0.1866802936401752]"
9,"[0.18164817855508986, 0.18390913387276447, 0.18702247122495735, 0.18498810315289405, 0.19170220885169093, 0.18807519678458523, 0.1855882826991966, 0.18341891872351337, 0.18046462987082657, 0.19482298033345707, 0.1832640081107311, 0.18117849500731883, 0.20204982230909757, 0.20139089876540667, 0.1745794589062484, 0.1891419895015941, 0.16950976442706445, 0.19064712995570127, 0.20014368173984687, 0.16833931204545619, 0.18406673403205728, 0.1799112864690767, 0.18739828712264497, 0.20005441095726856, 0.17577501575414609, 0.18952035553193872, 0.16904871866027513, 0.1845874856007594, 0.18122508646256735, 0.19109010116744193, 0.17862297042033892, 0.18167326796201333, 0.1818225189512712, 0.19396850130437357, 0.17535069443635423, 0.17638465103436837, 0.18251163403226578, 0.2026751209425953, 0.18231280498491859, 0.1857961755267734, 0.18854512028330891, 0.18714123022397294, 0.1851219749007805, 0.18953596953545648, 0.18060975316307223, 0.18585420385712434, 0.18074423261471856, 0.18052977787962, 0.18535736653592585, 0.18482468002351446, 0.18460608548769925, 0.17571337870193962, 0.19117066410592617, 0.18574753569634062, 0.1824648108794178, 0.19212975578524508, 0.19023535763497051, 0.19095463232088533, 0.18571689350983073, 0.17927036352718168, 0.18983546438743837, 0.17725768763325137, 0.18690933699325235, 0.17690980947946836, 0.17579815456111628, 0.18516297424662084, 0.19169568197710987, 0.18049087227646818, 0.19498757780909504, 0.17242505825310392, 0.19091808401029836, 0.19309673316951956, 0.1885737671205037, 0.17794783267867126, 0.19546378274833562, 0.1867334983155689, 0.19077125298223618, 0.18944791206723208, 0.20214253529405987, 0.1946718793529897, 0.18297301726252016, 0.19533573699809678, 0.1954864886475883, 0.18344431902829075, 0.18248472394069382, 0.17051975120269144, 0.1812225827510657, 0.17674404732399307, 0.1818013467507059, 0.1906733007446599, 0.18763340455961428, 0.19835198266229692, 0.18773452710591815, 0.18648453858627334, 0.18908615849961674, 0.17766570630454628, 0.1842469656919532, 0.20071762399312573, 0.1839811321990242, 0.19600937671811852]"
10,"[0.17500639010017677, 0.1889930016165942, 0.19079711709764885, 0.187224078031176, 0.17773988576224242, 0.18721574041742203, 0.17811488736837228, 0.17881273056286087, 0.17296319893631198, 0.17292027472139357, 0.1848834495977218, 0.17806057694219163, 0.18417940024493562, 0.17016407651719778, 0.1768755302539006, 0.1896696621972348, 0.18450161455574987, 0.17866378657169096, 0.18524313235885634, 0.1702523034027772, 0.16947963278261605, 0.18120470630668786, 0.16985941383258554, 0.1760643075024908, 0.18779421398603136, 0.17633209088556537, 0.18172274928055274, 0.17647900240404618, 0.1871422561240913, 0.16778097121542596, 0.18213116567522822, 0.17456209936819672, 0.16971575220392, 0.1632623316507677, 0.1769385874687687, 0.18113676324643113, 0.16327135289003594, 0.19559427117071945, 0.1853973198495117, 0.18441834804446208, 0.1792767807018894, 0.18270721420200053, 0.17743749781147028, 0.17132553646400164, 0.1765182392939659, 0.18085478595902074, 0.1732698225749235, 0.18660907265662155, 0.17648532689547086, 0.18184764435855724, 0.1794848103192702, 0.1659799112185022, 0.17732633972259843, 0.17223349011235722, 0.180119838148909, 0.18145348454285085, 0.185958161771044, 0.17832969930040574, 0.18559655143106116, 0.1811929630261971, 0.18036354146070543, 0.18690565458836395, 0.18101484629587972, 0.17633336761445223, 0.1815560547136216, 0.18956763951525185, 0.1802232614979078, 0.1792102789897085, 0.18032535096543467, 0.17130205693042566, 0.18015311267153905, 0.18333211867889648, 0.18097766547358393, 0.17284195273372152, 0.17932747751616632, 0.18190674407438023, 0.18559260647606962, 0.19509087217501075, 0.18999773659978833, 0.19090627440161975, 0.1834870179774904, 0.17106338250035627, 0.18787558212746666, 0.17898862027972137, 0.17214870307695163, 0.16965109037308435, 0.18257603313914697, 0.1784837719909257, 0.16393430136294554, 0.18689481818355028, 0.18132694533069785, 0.178972111904737, 0.18167189485370788, 0.18081824544685599, 0.16621587022408182, 0.19308076050017772, 0.16844541430587684, 0.17154985304999953, 0.17267253459051357, 0.18050915312060134]"
