degree,values
1,"[0.6403882032022076, 0.7071067811865475, 0.5000000000000003, 0.5969682832373151, 0.5947670101675412, 0.5947670101675411, 0.6180339887498948, 0.5513875245483209, 0.640388203202208, 0.5560321687428497, 0.5207734254923816, 0.5000000000000001, 0.5631541140053288, 0.5401508659329312, 0.5320888862379557, 0.5544643402602636, 0.7071067811865475, 0.5969682832373152, 0.6180339887498948, 0.5361047619344667, 0.6751308705666459, 0.5717168644773771, 0.5370829663921514, 0.4733967811199973, 0.5416569040874712, 0.6180339887498948, 0.5424893020776052, 0.541196100146197, 0.5279263911349777, 0.5748192463052283, 0.5176380902050416, 0.5631541140053289, 0.5969682832373153, 0.571716864477377, 0.5631541140053288, 0.5631541140053289, 0.5253362443526907, 0.6751308705666459, 0.6180339887498948, 0.5773502691896258, 0.6751308705666459, 0.5358487466682899, 0.5969682832373148, 0.5773502691896258, 0.4731202521232936, 0.6180339887498948, 0.47660260405996147, 0.5692821325550865, 0.6180339887498951, 0.7071067811865475, 0.595848005951366, 0.5958480059513656, 0.5773502691896257, 0.5947670101675415, 0.6180339887498948, 0.618033988749895, 0.5947670101675411, 0.6751308705666459, 0.5726677629049434, 0.5000000000000001, 0.5411961001461969, 0.5773502691896258, 0.6180339887498947, 0.6751308705666459, 0.541196100146197, 0.5, 0.5634999978188155, 0.5969682832373152, 0.5866933899450345, 0.6180339887498948, 0.5947670101675411, 0.5773502691896258, 0.6180339887498948, 0.5598108223180885, 0.5000000000000001, 0.5513875245483204, 0.503096114498792, 0.5969682832373157, 0.5344378663737513, 0.552935335207569, 0.6180339887498949, 0.5186723808678665, 0.571716864477377, 0.5105772356128132, 0.5717168644773771, 0.5083468128089146, 0.607625218510765, 0.5358487466682899, 0.519170273908502, 0.7071067811865475, 0.5, 0.5969682832373151, 0.5549581320873711, 0.5246851685434888, 0.5631541140053286, 0.618033988749895, 0.5335415822282282, 0.49296939665839695, 0.5947670101675412, 0.571716864477377]"
2,"[0.39314225692262567, 0.5047944315979828, 0.3900274601649806, 0.4715445348161823, 0.49684648432025985, 0.5, 0.5085175483627267, 0.4082484381565159, 0.5085992775450048, 0.4490064662950711, 0.4368568355306854, 0.4571079007227502, 0.44622981790467764, 0.37610244388604247, 0.3821309777641882, 0.42353196769176393, 0.5167946696122259, 0.4386544812810253, 0.49233323418398905, 0.4909599103503339, 0.5000000000000008, 0.42226954311190323, 0.5344086877905201, 0.5161696378494879, 0.41452379795445654, 0.4728072380609873, 0.4759132629668251, 0.4325244242586709, 0.5153553927502773, 0.38286365662015887, 0.4544932348841736, 0.4999999999999998, 0.5000000000000003, 0.4999999999999998, 0.4405660337789459, 0.5395422281221892, 0.3978318220522953, 0.5000000000000001, 0.5000000000000001, 0.4353046280202647, 0.5123942780336374, 0.4531804920455538, 0.4807361449625378, 0.45994004577220976, 0.47473908696899064, 0.46870784352884864, 0.4745602187062337, 0.5049873006901582, 0.4463712836506247, 0.4183592976318841, 0.5608052725306499, 0.42428975253659135, 0.5341973470825443, 0.4680127670421465, 0.5717168644773765, 0.39296122403738415, 0.42978081403514634, 0.5562529336609063, 0.45014223116287233, 0.41209330061146354, 0.4462501965739975, 0.5200504236075293, 0.4864338719301266, 0.4489312841264556, 0.480019171877036, 0.4668278990820706, 0.46016000083990927, 0.4324710507111174, 0.46772547222013344, 0.46161935585513414, 0.5035383561403793, 0.45248908890095085, 0.5326504766438103, 0.45029330660284483, 0.5199508224205287, 0.458849273459774, 0.41358116267684775, 0.4945112546816354, 0.4927048850991536, 0.5358487466682899, 0.4879707333075968, 0.4806476208118922, 0.464956868798528, 0.4647837934488614, 0.5000000000000002, 0.4517842964252795, 0.46394554687227724, 0.4313475512971225, 0.3628453176668997, 0.5117667544284284, 0.42161678201810054, 0.4723280386187336, 0.49276203974189237, 0.5000000000000004, 0.4279648747870888, 0.5233406688202431, 0.44507788906372614, 0.4976409312058223, 0.49999999999999944, 0.4866073459145845]"
3,"[0.43845259567959016, 0.4122392271642008, 0.4886012058770672, 0.3840363955918825, 0.4431776390587539, 0.39090043351703635, 0.41234051227640056, 0.4380506195042275, 0.4453135387511149, 0.4102110661159982, 0.4606529420487809, 0.43833098804451304, 0.41993174731341104, 0.419742324465761, 0.42399838503218296, 0.45670714940475754, 0.35534920159444916, 0.34600484460313286, 0.5000000000000002, 0.3642793613871447, 0.43637469709339294, 0.42383971901947765, 0.45015836137269777, 0.4175757762406416, 0.4059275831902855, 0.472305429472075, 0.3796617330903236, 0.4177289022147411, 0.4535999863040485, 0.43559051831212353, 0.36467164233966587, 0.40331712909756967, 0.44715402905628326, 0.3787646251576654, 0.3674518766326986, 0.4474060714769266, 0.4280737653756317, 0.4288675697090155, 0.4370448765188595, 0.39505029042231093, 0.4256288819891736, 0.46849751822708785, 0.4742941567351147, 0.3868190521493138, 0.45032569982227016, 0.43669854186594986, 0.48104284844224654, 0.3988287048747189, 0.42710185649242993, 0.46202375023039777, 0.44786244628347943, 0.4705761669341096, 0.42281988808980414, 0.4331234899964974, 0.4023249211567, 0.46431948996552547, 0.40677309977451775, 0.3756305566356014, 0.446646666298328, 0.43790459908027224, 0.40925130194708864, 0.4236868798039219, 0.44106857778937597, 0.41964843368225635, 0.4042192388398516, 0.4030267486697242, 0.39291401039132495, 0.4076598029561719, 0.3674570765669286, 0.39502507842060813, 0.4360378101556508, 0.41053236924801245, 0.406898611612825, 0.35298167986178336, 0.43603957769191554, 0.48200264788374825, 0.4663557018815866, 0.426766151093578, 0.3552111094511087, 0.41210513934430004, 0.37755653525529526, 0.4230846887346262, 0.4434590362692807, 0.3861524673732757, 0.38284047938226495, 0.4335466252998887, 0.39335588031971913, 0.35508210721601263, 0.430452920877533, 0.4283556726622092, 0.4024320164583495, 0.4174182662197004, 0.4224202833054206, 0.42150975145083175, 0.4679655498442561, 0.45987815603248616, 0.45973817650877374, 0.4097698679523946, 0.44428226468031945, 0.4645902023821793]"
4,"[0.3675736894220644, 0.42569547774862454, 0.43639590601469685, 0.38736926946786143, 0.34864483121313694, 0.3501363948923678, 0.41037863826700427, 0.35116912321580823, 0.3628857658899183, 0.3730098363625408, 0.40564805676003535, 0.3748068548970942, 0.3855374478216883, 0.4178654346586553, 0.3845757749575512, 0.36268804791866643, 0.4182009479764647, 0.3403767630715463, 0.38631867540854575, 0.3926292879279785, 0.4018703024775435, 0.3486539884145529, 0.39679666311354855, 0.3821015254078817, 0.3743383520803904, 0.39254208795427503, 0.4101077998255994, 0.3487455768729021, 0.3845165847236254, 0.4425089320616492, 0.36252633375388915, 0.3839139582801591, 0.40646122332429824, 0.38145976384948926, 0.41631773078745293, 0.3458313191015391, 0.33485442212420624, 0.4274031077537758, 0.36933845849720937, 0.3889005329203833, 0.377494424611055, 0.41671340307412646, 0.4492435048715324, 0.3794120235104375, 0.3812338288378509, 0.4278224264889199, 0.4147716813479317, 0.38186747150797995, 0.3997751330660518, 0.4222983242409148, 0.40395130431746845, 0.426383184360541, 0.3613375075583183, 0.35120045131013156, 0.3347802444550236, 0.40745966924588245, 0.4247981542338301, 0.4223140038225199, 0.4040374185234757, 0.39868056371359195, 0.3253039631507065, 0.39721625663089905, 0.39854364826305083, 0.4191951620486506, 0.3348406430688736, 0.43090488058276066, 0.3912433601624469, 0.35437069866927484, 0.37955296523081417, 0.3373826849653, 0.3467123003695467, 0.3876248472856442, 0.4214022540419084, 0.3806634455180724, 0.34556265763273775, 0.4199015546028171, 0.375468634420681, 0.3433810135470654, 0.37657114201598685, 0.37340798419245486, 0.36522605600974895, 0.44094051321386196, 0.35497671832646616, 0.36749309571962074, 0.4033688644513376, 0.37882366298993203, 0.37690961815169355, 0.4262974745067387, 0.38904267736750114, 0.3894911581514023, 0.3528742350745103, 0.3736651702271368, 0.3981000538534357, 0.3695545804812332, 0.4074947600577174, 0.400947890744305, 0.3912809358125646, 0.3545568391939575, 0.4026246961765141, 0.35370485335121443]"
5,"[0.3663536112000286, 0.3741916416781533, 0.42103054761977116, 0.41489867590396456, 0.3464321713242344, 0.33831522972926914, 0.38745084330133495, 0.3141894933214461, 0.3585253663939318, 0.3943802283391154, 0.352629500907091, 0.3459207952110152, 0.3331827980186457, 0.3292548118629548, 0.34823829595511163, 0.3345187631851977, 0.335876317779769, 0.3397107715820825, 0.36457258994484737, 0.3898866819449212, 0.38102181634938714, 0.3771147339999997, 0.32215231675042694, 0.2890251245710179, 0.3240789538741805, 0.42676107537103747, 0.34897879367008505, 0.3557515495398996, 0.34753058468301923, 0.35068354532772417, 0.34831626235910296, 0.3386968902254699, 0.3303673438592364, 0.3461242443942223, 0.3382731030786863, 0.3818069822984542, 0.3419253537924213, 0.37214989371120555, 0.3607080118751036, 0.3429779447340203, 0.3091104444452582, 0.3305363782776815, 0.34165808966955086, 0.36346949112164334, 0.363997723081957, 0.33163890902677173, 0.3418204112678089, 0.34726087205413825, 0.38151293439813133, 0.3674197945856409, 0.36273298488245853, 0.2950176486685338, 0.35640622159563495, 0.4410280883410245, 0.31167099399866316, 0.35679102785771705, 0.3603842014214702, 0.39797811311106795, 0.39159191848802205, 0.3307559545215257, 0.32103483438377645, 0.36144104895338103, 0.3967991503706123, 0.39840773497324034, 0.31262165182108764, 0.35209190302262866, 0.38257675652290024, 0.3255625355161711, 0.30767192696571166, 0.3443835394749343, 0.3133747891723441, 0.36217624435140194, 0.3692825738551439, 0.37070208376453184, 0.358423604606512, 0.3908856374088755, 0.3546771235008804, 0.36690645621492984, 0.3737045739779152, 0.3380072601709806, 0.3703362632292246, 0.32558949822367567, 0.395221106367188, 0.32804571552384726, 0.37413024413234175, 0.3622017767753533, 0.3909497582529901, 0.37014752878986745, 0.4048277840275773, 0.34436823631906255, 0.3322881539897403, 0.37029233222391217, 0.38225678867938173, 0.3324051118561705, 0.3264912834738692, 0.3575344733153194, 0.36848294675018434, 0.35682833674172015, 0.31191627544725553, 0.3250967203421385]"
6,"[0.3222367976021406, 0.360116988309181, 0.3243297262866765, 0.36210486311030665, 0.3297200844296524, 0.3877345904246942, 0.3944009496971158, 0.3458244087624266, 0.36374679386945286, 0.3636055807886855, 0.3064905413821843, 0.3364159437380394, 0.3103037105114126, 0.3584786585843038, 0.29522406806614676, 0.36711968048575455, 0.34098655255429094, 0.35693051395999364, 0.38467477992821825, 0.3548531797772168, 0.34991462591151584, 0.33557480809829326, 0.3443400323871103, 0.3055798851792257, 0.3011972874618656, 0.3388601888282142, 0.31543534200193163, 0.31599295751781387, 0.35661069771210296, 0.32813764504421616, 0.33942734650170875, 0.33945405967650255, 0.35386964191705844, 0.31543418220916764, 0.35046336039532733, 0.31151893759086374, 0.2836107390729534, 0.32674727799853726, 0.33599512094501627, 0.3581233948370456, 0.34213074175360436, 0.3039551492434532, 0.3502969017383544, 0.3429608152408732, 0.3566122119197198, 0.33863866253816355, 0.30826393480283054, 0.3253649948529466, 0.3460687421658956, 0.35731544401756016, 0.34681673342263203, 0.3765499270823453, 0.33450979732037844, 0.3165299444938497, 0.3357230091358274, 0.33861450716011715, 0.35078678660894397, 0.3102993377825421, 0.3151583565472955, 0.31344745501154203, 0.3542346348551974, 0.3250913023277705, 0.37279289773912233, 0.32537601946818845, 0.29180396555927485, 0.38923839595007464, 0.3366077548496072, 0.3231477217534164, 0.3204169825300602, 0.36104570673998354, 0.29906317692072554, 0.3718947204987027, 0.3507380085576981, 0.3341072976904779, 0.31764414350728415, 0.36632924852690124, 0.32370988647757104, 0.37098983742105945, 0.3439846013958617, 0.288489689194534, 0.38990656003529106, 0.3198732664014985, 0.3389313748950686, 0.37174367107795847, 0.32912318012031155, 0.355045657202326, 0.3693639490381416, 0.3040218620529603, 0.35508245746287986, 0.3277921902961952, 0.36128516103087366, 0.33095467815627516, 0.3702709073940356, 0.31607875158807686, 0.35080170826840057, 0.32397093278419786, 0.28769101186546736, 0.325174031979972, 0.3206821149831733, 0.3604767082339119]"
7,"[0.3322254940675985, 0.3415493855551832, 0.3129170396780038, 0.33257528202777076, 0.3111762009812133, 0.3398887323867604, 0.29800271181373583, 0.2962991120730582, 0.3140805564293277, 0.3147106014993596, 0.3106598212310604, 0.31074343040732216, 0.3347337719727773, 0.2716500502476609, 0.30458126963594395, 0.29114018942592174, 0.3066313981902049, 0.3293718643273313, 0.3203714306952403, 0.2925689447622023, 0.29908681507728213, 0.36109438441830594, 0.34841160001132543, 0.35563890936014225, 0.3263978354346547, 0.3155895450578491, 0.3216565796724487, 0.327321090908089, 0.2770442002566206, 0.3236155071644669, 0.293989031711801, 0.30419731347489926, 0.28256573829437454, 0.37400701967568284, 0.30898208345231964, 0.3120969429430523, 0.31441588170793355, 0.3164907540742859, 0.29482794050351707, 0.2512599297962125, 0.3102097627359785, 0.3330750127612046, 0.318989945000709, 0.3254941072288705, 0.32257325768936335, 0.2874958026166572, 0.2883980720816488, 0.251750383539269, 0.2981674386050217, 0.2869411851689322, 0.34349882820068595, 0.3346404363780504, 0.2883871029626754, 0.32996637458540373, 0.3313776419351319, 0.3076842262452332, 0.3267863486627241, 0.31697485925911156, 0.30042292381318314, 0.306824079340543, 0.2960093460206024, 0.26935303400476696, 0.3211273580846621, 0.3185788419365167, 0.3227997925799951, 0.31198416969260157, 0.3102803940250507, 0.34559713228868516, 0.3074257215225911, 0.3008353721080755, 0.3459489587150535, 0.3210355695026176, 0.35654771028335125, 0.34084085961243576, 0.32092418632120395, 0.2953986795731284, 0.3255877775519376, 0.2859344312642849, 0.3155075319459516, 0.28857758360858365, 0.3310042862835411, 0.30965645318972645, 0.28806057012405084, 0.27362741979513916, 0.321999914329972, 0.28544378424507727, 0.29624548302779097, 0.3239322535909709, 0.30749143848024807, 0.3393675426505464, 0.30320278085856645, 0.3077640295456048, 0.34800646524500484, 0.3361559920264842, 0.3286996318253038, 0.3279987547106101, 0.31172831240874066, 0.32324979771261303, 0.3035054985046394, 0.3396721357576118]"
8,"[0.33617084063895625, 0.3315496400434189, 0.3046425751976035, 0.29711710049938284, 0.33389011924032447, 0.3279145701089119, 0.3260797443063873, 0.30584514588798467, 0.25659475588685643, 0.2712220745371248, 0.3071778968210892, 0.3351284436087276, 0.28138345016662175, 0.2529646209565303, 0.3068682604179829, 0.29478709950321363, 0.3154228851118545, 0.2973053195324365, 0.30125634224191167, 0.31966232768368774, 0.31456653156438463, 0.31365578391063864, 0.30101514854215966, 0.2714841513881759, 0.3275808258445387, 0.3264690229354669, 0.3072887099420928, 0.27778964230176, 0.3281370498038397, 0.33103891954614295, 0.29008445541056216, 0.31011208229101894, 0.32284305624635906, 0.30144903945314194, 0.29068339851330127, 0.3197008469625757, 0.316958914478793, 0.29485303509213107, 0.2884641545293329, 0.3285483818988854, 0.32418812098248256, 0.31457547547567516, 0.32751958257082137, 0.29601173064094327, 0.2935043182140745, 0.3032468079620922, 0.32775792063246745, 0.3049875087830499, 0.32594254025908237, 0.3052455783545619, 0.27847699487855454, 0.30107152373563845, 0.3242446470943715, 0.29259451923472973, 0.32251025015804385, 0.3307919693862184, 0.3023637723964687, 0.2855862918361505, 0.298911533413003, 0.3108891332705673, 0.31509302901996716, 0.29947618531789455, 0.30516217595334094, 0.3049364306692701, 0.2928209013530332, 0.3189949835904362, 0.28222996892976704, 0.29154294275815995, 0.275714738953445, 0.29101906794185695, 0.2842293933886813, 0.286557839491898, 0.3019146599957581, 0.32146218290882483, 0.2860696937473645, 0.3030524746045833, 0.29037230693130905, 0.29547409019143966, 0.33075766122214084, 0.32282540451705455, 0.3084096521494772, 0.26970840487544634, 0.2710061680185253, 0.30522751284804267, 0.2984663251663626, 0.27527961989461536, 0.2683915114690531, 0.24895012704074665, 0.29897468458959603, 0.3242421912235987, 0.2973673021071371, 0.3073263112030383, 0.2986072597187124, 0.32076442285697787, 0.29301097309224905, 0.2875759946584553, 0.27584849363890623, 0.29255161215389136, 0.2668155423553524, 0.3108214619758577]"
9,"[0.32286113300866615, 0.3112989682036711, 0.2969016188033031, 0.2963638539888819, 0.2887335828011587, 0.2827407427132901, 0.31071066199055963, 0.3036240642397514, 0.3017499223390058, 0.2669866244363486, 0.2706206951497006, 0.27063981549675026, 0.2824366964065339, 0.24210701032088205, 0.27306653774823525, 0.3134417149485882, 0.2758573372663419, 0.24180661671208872, 0.28064254147833434, 0.2681965646184204, 0.2970641915774499, 0.3010756953652222, 0.28682591806878127, 0.3102266835093413, 0.29588429084893086, 0.27455341014404394, 0.2944248486893599, 0.29435136421704855, 0.26209573632135774, 0.290325054782451, 0.2629654021423418, 0.2611100902339167, 0.317530894425914, 0.32280750404619585, 0.28734047405904173, 0.2622697177084041, 0.287744895752456, 0.31325642306853835, 0.28968822833209146, 0.2958989575978899, 0.30284661223355136, 0.31122785388381186, 0.31114469547952306, 0.3243585959521173, 0.2729252479932344, 0.25793341301665895, 0.2461337038184033, 0.2797761013781449, 0.28337651456978336, 0.282018441493965, 0.28569649504939876, 0.3167320298603123, 0.3119599437602428, 0.310835870856362, 0.2626979429352942, 0.3042468766277241, 0.27939581178282624, 0.2706735271960687, 0.2962064563653099, 0.28763295000868855, 0.30710575750285096, 0.29846348510386594, 0.25790751802560735, 0.2623998759411629, 0.3023878650267167, 0.29827673545565847, 0.3164623553124966, 0.28838010595933794, 0.3054214161164058, 0.3012523679560885, 0.2637936076043528, 0.29008693521461787, 0.33373440286053385, 0.26960868574870045, 0.2829058027238838, 0.32314052247410374, 0.2764024367935216, 0.2991303680546502, 0.26949702882338206, 0.307391171153043, 0.3021422002074372, 0.32487603101952744, 0.2621538218102369, 0.26513136451616687, 0.2895241095139411, 0.2962986854920503, 0.2926458124397332, 0.31455729751961004, 0.292387480527073, 0.29806752183628243, 0.2909590874254654, 0.2694240608617624, 0.27452620612369266, 0.2937636801877571, 0.2688111181695042, 0.29951169513735204, 0.2834426525165218, 0.29279121751585324, 0.2781297361558122, 0.31996953127550226]"
10,"[0.29547386426419087, 0.28820777732992703, 0.2838591601586118, 0.27786916881265794, 0.25675474381604946, 0.2526104589487027, 0.26656339504603055, 0.26938511762260925, 0.3046662103410141, 0.2792615654972131, 0.2904953622006424, 0.2535683006487096, 0.2989595617401735, 0.2570948813842552, 0.2997562505751999, 0.2698446048023285, 0.2798146148462884, 0.2648729900215755, 0.2668239596020496, 0.24253254541673747, 0.28167681646588016, 0.3064267740032487, 0.3084651784049162, 0.281307888346101, 0.2823639036481878, 0.2864247536569251, 0.31042649362858465, 0.2955722987063935, 0.29180561843083663, 0.2847868467467458, 0.24643327141490037, 0.2809283056074488, 0.26741625624511656, 0.278223982951442, 0.27985322612288893, 0.2408307923839348, 0.2687914970864262, 0.2820449031284942, 0.30473174386654894, 0.2588755904591756, 0.27802729202398335, 0.22949768301298745, 0.25842647298662935, 0.2924802838388498, 0.28096660878452545, 0.31590429555589516, 0.2779734313230538, 0.2727999773509183, 0.3024494487857881, 0.31961716153836994, 0.2779632850040215, 0.26444185614286286, 0.2686320538351954, 0.24476868518948236, 0.3160999509747843, 0.282619872161321, 0.2859567244834192, 0.2765952411511616, 0.27108822517934966, 0.2711680447961679, 0.2742461391896833, 0.2568969709220528, 0.27087127895611474, 0.3270466013976045, 0.2440717864587272, 0.2776345799141655, 0.2857186016766073, 0.28489056771596943, 0.2637132456191749, 0.27049321825393113, 0.24975338857289714, 0.3105294090284787, 0.27031293387549277, 0.23030033389907198, 0.2627522229657555, 0.2875960112120977, 0.2828737472448809, 0.276959499252223, 0.26767550503348475, 0.27277678463679095, 0.2618040272910624, 0.3217291542791618, 0.2676492493672134, 0.2651109949142876, 0.23942559894906204, 0.2778055980982364, 0.32349527535269745, 0.2516048621252013, 0.2860907604016878, 0.27921111769988943, 0.26316995151734396, 0.2753907131897006, 0.2891390432518712, 0.25611614828941826, 0.282313923403011, 0.2782486705717177, 0.2618180068963056, 0.22482426564452196, 0.3074097588888797, 0.26921093672418933]"
