degree,values
1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
2,"[0.501220949040586, 0.4999999999999999, 0.5000000000000001, 0.5012209490405861, 0.5000000000000002, 0.5000000000000001, 0.5000000000000001, 0.5, 0.5000000000000001, 0.4999999999999999, 0.5, 0.4999999999999999, 0.5022743370878863, 0.49999999999999956, 0.5000000000000001, 0.4999999999999999, 0.49999999999999944, 0.4999999999999999, 0.5, 0.5, 0.4999999999999998, 0.5000000000000001, 0.5, 0.4999999999999999, 0.5008167801204237, 0.5, 0.4999999999999999, 0.5, 0.49999999999999967, 0.5, 0.5000000000000001, 0.501220949040586, 0.5012209490405858, 0.4999999999999998, 0.4999999999999998, 0.4999999999999998, 0.4999999999999998, 0.5008167801204237, 0.5016266205621605, 0.4999999999999999, 0.4999999999999999, 0.5000000000000001, 0.5025785681031013, 0.5, 0.4999999999999999, 0.5000000000000002, 0.5, 0.500000000000001, 0.49999999999999956, 0.5000000000000001, 0.5000000000000002, 0.5010294186759061, 0.5, 0.4999999999999999, 0.5022743370878866, 0.5008167801204237, 0.49999999999999967, 0.5000000000000002, 0.5, 0.49999999999999956, 0.4999999999999999, 0.4999999999999999, 0.5, 0.5012209490405861, 0.4999999999999999, 0.5008796790702478, 0.5000000000000002, 0.5025785681031014, 0.5, 0.5000000000000003, 0.5000000000000002, 0.4999999999999998, 0.5000000000000002, 0.49999999999999933, 0.5, 0.5, 0.49999999999999944, 0.49999999999999967, 0.49999999999999967, 0.5000000000000001, 0.5000000000000003, 0.49999999999999967, 0.5000000000000002, 0.5025785681031011, 0.4999999999999998, 0.5000000000000001, 0.5012209490405857, 0.4999999999999999, 0.4999999999999998, 0.5, 0.5, 0.49999999999999933, 0.5, 0.5029483045101808, 0.49999999999999956, 0.5000000000000001, 0.5, 0.5000000000000002, 0.5, 0.5008796790702479]"
3,"[0.36015102525397247, 0.360213308309957, 0.3569311044275286, 0.37219744419794915, 0.3546251754868269, 0.35242848686184, 0.3586361282060009, 0.35592414389972493, 0.35896651330386103, 0.3604906894954945, 0.35736659113949587, 0.35739889163942457, 0.367445182859301, 0.36067730823838573, 0.36729412407230144, 0.3663106596138797, 0.35878997104709637, 0.36641107099850156, 0.3635797592961088, 0.36596045355014745, 0.3562735274814155, 0.35903946581753887, 0.3663687953103114, 0.3675508437644958, 0.3585924879302843, 0.3576473962512731, 0.37343516689800876, 0.36763146159160426, 0.3596853245594789, 0.3553988744477847, 0.357644885866922, 0.37178897101870095, 0.36201478878034715, 0.35914103318925783, 0.3637364697192336, 0.37471441291608315, 0.35696168456594446, 0.3571661991377674, 0.3616132712727523, 0.36139135024438496, 0.35877052625742956, 0.3554014667969174, 0.36444940677900867, 0.36197820997361374, 0.36065280679800243, 0.36100302471087653, 0.3656246847899931, 0.36788567838249947, 0.3581088758741749, 0.35877253688662786, 0.3565248327715962, 0.3622077292596246, 0.353045576398467, 0.36096396644954193, 0.3524963120490419, 0.3656084537724153, 0.36737773168398546, 0.3630179203636601, 0.3634682216250912, 0.35879630445111055, 0.3635197917772628, 0.3673392942640727, 0.3651629650697017, 0.35604133534909954, 0.3690066409919713, 0.36395180127452986, 0.36202835686897444, 0.35908272005224806, 0.35907957011689345, 0.36285068373864937, 0.3615547445892395, 0.35127576277421685, 0.35607046180584434, 0.3554268917137076, 0.3581844350125918, 0.37633116044838794, 0.3654989191753863, 0.36212311074291353, 0.3603577379948355, 0.3637701604256179, 0.3530609283974818, 0.35808789479382025, 0.36187323147443645, 0.3611602781722392, 0.3558325268626651, 0.370717326365019, 0.35262096695476636, 0.3613979584299407, 0.36541563951527706, 0.3657253363814769, 0.3603678987165131, 0.357208299184071, 0.35987979515313623, 0.3650192243250976, 0.3610445428597772, 0.36257721385504255, 0.3625933102271869, 0.3647475765884523, 0.35805971400333436, 0.35435049775382427]"
4,"[0.3020689700356856, 0.3013290235684538, 0.2948350885524893, 0.3066920914871698, 0.3004897024495612, 0.30266078907434557, 0.2944127953053505, 0.3116390564263064, 0.30603064324534796, 0.2953644786979589, 0.309948243637317, 0.30783105809869404, 0.3070559977471301, 0.30637077368845483, 0.3021140487302521, 0.28875684655397327, 0.2858696924174763, 0.2999183066081295, 0.3126677914821834, 0.28994507108900114, 0.30384488797229237, 0.3069071747157577, 0.31631110954338293, 0.31050079614404524, 0.30989143020944365, 0.3076442423589944, 0.3016378948522316, 0.31124628169091045, 0.3065973843386325, 0.28875487981098147, 0.3006019457572197, 0.30454969484069466, 0.2933451269768756, 0.30151430414601377, 0.30020336086006283, 0.2833645206386475, 0.30608182309601667, 0.3130982048829954, 0.2930838512749047, 0.3031224430516301, 0.2991105888485655, 0.29325066734469357, 0.3041622705824046, 0.30233937476211725, 0.29064423969813263, 0.3008543833199252, 0.30195427325006574, 0.28386873081275404, 0.30603966068855337, 0.29888216771628695, 0.2974179708901964, 0.30855727766290286, 0.29327199783993135, 0.3004905854492013, 0.29212289451266993, 0.3025092539382719, 0.2969825276129556, 0.3220493317547289, 0.2939658125557366, 0.2869131437828725, 0.2930313116441478, 0.3016394604563937, 0.29930895810328123, 0.29585921546380783, 0.2886367990898404, 0.29772365325528505, 0.2887891305218343, 0.3005770156007418, 0.3029976591720975, 0.3029353370848162, 0.2983009064040631, 0.2921909138151522, 0.3022927026779821, 0.2889643347973807, 0.2953419109463572, 0.3026936303189862, 0.2992049906133256, 0.29109735730052827, 0.29377212429489824, 0.30618515659554063, 0.3068451636198541, 0.29174963134931725, 0.3028147604049036, 0.29279495167244, 0.3023625403302905, 0.29755242822608274, 0.30762800876441615, 0.2981285321596751, 0.2927028014356975, 0.2924214348524872, 0.2991422100303971, 0.31603298918258277, 0.3032652202456224, 0.2905480693239166, 0.2972243597510784, 0.29462893099554555, 0.30605960992632564, 0.30473993686280576, 0.28835464189253973, 0.2987182289215321]"
5,"[0.26357410918560487, 0.26517605917682063, 0.26326476397909354, 0.26305574327942904, 0.25001014846599856, 0.2676640849540001, 0.2623106567744334, 0.2729941582526831, 0.2515175588580997, 0.27263478969556687, 0.2730292256733735, 0.25910685269850764, 0.258142652476042, 0.2534764757174165, 0.25170655129904723, 0.2575323293959669, 0.2575797123368645, 0.25754670859467166, 0.25614623501266526, 0.26549005714159274, 0.2671668948979698, 0.25173711641928237, 0.2640721002409644, 0.26201903401429955, 0.2737394589129426, 0.2572043008657516, 0.2653033076053842, 0.2556361295044263, 0.26569487770855177, 0.2555772934195691, 0.2564044011674703, 0.26024560146341846, 0.26287228498524867, 0.2660369276888163, 0.2703834511060101, 0.2673178339374027, 0.25312226871891824, 0.26255942624714185, 0.254924238057631, 0.2576900056265786, 0.26943066216628914, 0.2629097488583128, 0.2545491367074736, 0.2583178793427459, 0.26952272172710817, 0.259020386685491, 0.2580924103615467, 0.26550474810457203, 0.2507089451545461, 0.26605704930131546, 0.26234296107105076, 0.2574571015205928, 0.2512220574200159, 0.2674718148018471, 0.2710322303764816, 0.26094280595715047, 0.26335690312001764, 0.2538751142113647, 0.2635210949589776, 0.2644319126328973, 0.25638980362801844, 0.26502686659773894, 0.26994617322459363, 0.25701631857682866, 0.2698681917501729, 0.2576372201459494, 0.2672441072259006, 0.2535208821144647, 0.2574356355783812, 0.26984633298695676, 0.26291189741841825, 0.27657742176491057, 0.25322631955690206, 0.26401729637628746, 0.2507394993504834, 0.2684559252995775, 0.26082016841240385, 0.25906390723126105, 0.25715222794232073, 0.2647356920328114, 0.25998240334067907, 0.2560487199319205, 0.2513533360910843, 0.255514611713029, 0.2545010580833265, 0.26101515584510776, 0.26976461084954173, 0.26169938900401035, 0.27023437973584974, 0.2628352118726005, 0.26003117037120727, 0.2609254534589145, 0.25607368009673553, 0.2578858374483528, 0.25526359768746487, 0.2612558424733155, 0.2542319506934929, 0.26479830944405386, 0.25155712921716156, 0.26506208079724075]"
6,"[0.25237099294842535, 0.23285463706257814, 0.2296098870869092, 0.24023389991408867, 0.239289068580406, 0.24908910534367776, 0.24423405571543066, 0.23588978272754396, 0.23654182385504904, 0.2259348532201421, 0.2273948571847213, 0.24427114612747797, 0.24752241441726372, 0.23288688188045392, 0.24910714288683716, 0.2330029859379222, 0.2320902389310111, 0.23543994391616627, 0.2474845035738502, 0.2259431264853952, 0.24283422423091272, 0.2364554419840097, 0.2386459228818156, 0.25051112021881183, 0.24743092685877266, 0.24591863603254, 0.22563669778134374, 0.22893880732579433, 0.2451816263147613, 0.2390892348961662, 0.23941051220952364, 0.23744015267050356, 0.23557590563454409, 0.24152766661713163, 0.24128485430373475, 0.23474099758106537, 0.25001580814881297, 0.2363916794955905, 0.23781430872150017, 0.2347284864653331, 0.23360504134348728, 0.24165343894344785, 0.23992282867786832, 0.23620423696634957, 0.23470855422649115, 0.2261570010667149, 0.23510839801409064, 0.23424578501419277, 0.24259147635765518, 0.24704548719950595, 0.24026644351727827, 0.23787740177036698, 0.24393369472694296, 0.23690685921030497, 0.23737193544167148, 0.22924775123817123, 0.2544022948852172, 0.22191354593121804, 0.2309402647315474, 0.23955582585613638, 0.24234146543221152, 0.23627956955515111, 0.24372675564556226, 0.2343383206292854, 0.22508177086789075, 0.23355447495943327, 0.23002994472675284, 0.24086822306117134, 0.24037398858852504, 0.23977439252381225, 0.24207374232260867, 0.23345700323041424, 0.2351304523237567, 0.24509858501126672, 0.23868480896337044, 0.23077702240869566, 0.23535617589872165, 0.2417778376443396, 0.23917641427007497, 0.24011547447628268, 0.2497655842786672, 0.22955370009313467, 0.24419325271601702, 0.23241767302825392, 0.23158763577042626, 0.24217370491602455, 0.23283115988823777, 0.23907700694491188, 0.23699527275406598, 0.24713496981715827, 0.24399437075627853, 0.23564004972887836, 0.2350854734441307, 0.24086220511907572, 0.22812581087786327, 0.23432407059945598, 0.2356209595477174, 0.23319362719848888, 0.23638181659132473, 0.2298848521312342]"
7,"[0.22476561388333122, 0.21503992399917882, 0.2098407919544919, 0.21982438608814633, 0.23517343983442834, 0.22657985440239153, 0.23154309437126916, 0.21766231887027304, 0.21542346383941932, 0.2160997846513463, 0.2232196074923874, 0.20951208874953786, 0.221404250797007, 0.21891153067355462, 0.21596951022804475, 0.21177648399607218, 0.22480154477467326, 0.22809063102365135, 0.2216469206509906, 0.2230832838788853, 0.21190639176862813, 0.20120109309623968, 0.2181813804532273, 0.21910230094826655, 0.22271824307342622, 0.21139593125085054, 0.21706843650384428, 0.21010255282321824, 0.22347263745676524, 0.22470278232749114, 0.21543049005211418, 0.22665946641439877, 0.22430277846378247, 0.21920636341399957, 0.21971811814187933, 0.21184427053636334, 0.22585745188263237, 0.22106971654217814, 0.2172497031457824, 0.22105789669780274, 0.22765161999314523, 0.22739447156826148, 0.21606381135251163, 0.224870337371704, 0.2201943957865613, 0.22061590296474723, 0.20986323982678137, 0.22374321147487608, 0.22534514432166333, 0.21435467769902813, 0.2021899362898828, 0.22771812586108486, 0.21967180657842494, 0.22565096172503693, 0.21335962710236298, 0.23312434064742196, 0.2195216983884281, 0.2191568205497285, 0.21218061038251468, 0.2137009636236439, 0.20767398117794839, 0.2216884596453788, 0.20479085033804253, 0.21334955849824713, 0.22356186438723877, 0.20880796001669377, 0.22385681705664762, 0.20723978217259845, 0.22720930772873138, 0.21185863612980707, 0.22089498817986, 0.21728901519529767, 0.20434911771519745, 0.21552448968675025, 0.21509571640637065, 0.23213040365592483, 0.21567293381130917, 0.22295246963713297, 0.22056334827813046, 0.2138893207151367, 0.21817120365880147, 0.21261779239120762, 0.220181391335764, 0.21426978376848857, 0.21347267426061897, 0.21556894278018174, 0.21649906782560785, 0.21424914090305305, 0.22262527458652284, 0.22002222927493703, 0.22466334241062186, 0.22567035983810796, 0.2189837050973577, 0.2358960322583507, 0.21786973151353362, 0.22818316127483484, 0.21699427640465296, 0.21672927041347206, 0.22021116374386884, 0.22442511949630342]"
8,"[0.20856183848804294, 0.2120665631066508, 0.20717055793928135, 0.20203022734954454, 0.19521350954958877, 0.1980347470188959, 0.2040588462913054, 0.2065182189188096, 0.19911946467063238, 0.20539493693519967, 0.20071091977281913, 0.20285319764216722, 0.20394296071842102, 0.19626940185848216, 0.20966268736226326, 0.20129554848054182, 0.20576861101093752, 0.19606000196562595, 0.1944010383510334, 0.19727328374149763, 0.20313070180948728, 0.19262800989134948, 0.195097818163397, 0.19754750454548695, 0.2111490570838655, 0.2013320549250824, 0.20948657352798497, 0.19788598760583861, 0.2080635111142101, 0.19415626749258105, 0.21374523567948578, 0.19682738143877646, 0.20669984409907494, 0.20034453438647984, 0.22155329273723473, 0.20744946750589627, 0.21114638330103874, 0.2105866963554222, 0.20860105118710853, 0.20984019622100522, 0.19947615634906318, 0.20602441119145085, 0.21542308623978568, 0.206815090334621, 0.2032009513760802, 0.21300934865764415, 0.21462518496560637, 0.20889388707850126, 0.20518145507106444, 0.21034367506977786, 0.20258245852139206, 0.19729327745870792, 0.21230209495833685, 0.1937517186774795, 0.2201101500605401, 0.20630066090353666, 0.2102322172495888, 0.2042968189696451, 0.18548603113327844, 0.21187248770973213, 0.199241579666681, 0.21105647525946175, 0.20288024756467082, 0.20032422363301855, 0.2068045152502291, 0.19266467508077234, 0.21567973227518875, 0.1970444971813657, 0.2029849380198948, 0.21316437631282503, 0.21162547030784318, 0.20382067855639857, 0.22010636915242968, 0.21390676537974576, 0.197645030029672, 0.20352543844777207, 0.20097865182356298, 0.2032706004256406, 0.20029773699473072, 0.19843135780043922, 0.21566376106308524, 0.193040364760206, 0.2033933948727608, 0.20949869233701984, 0.20179765710252737, 0.20678276451354285, 0.20253166126629762, 0.1991013837497058, 0.1948824997397028, 0.20232518221748833, 0.20157024517136893, 0.20797244008391916, 0.21085204406213887, 0.21180283614508053, 0.19960092125938297, 0.20964724157329337, 0.20319883519921006, 0.2119673842305939, 0.19731873427584193, 0.21273182265618767]"
9,"[0.19576801743648212, 0.1968565643014291, 0.2011936105922112, 0.19582834389851786, 0.20212521580219667, 0.19603591976238569, 0.19152590906779304, 0.19015916816559, 0.18750976068739605, 0.20158151477476857, 0.2006715466057441, 0.18756985503569576, 0.1972942363187723, 0.19877492883740822, 0.19277774664962388, 0.18661095844370154, 0.2009190773416842, 0.20411706411197297, 0.1864430198644471, 0.19804818812689423, 0.19933411405367515, 0.19734672776458254, 0.19448834142292326, 0.18726801112652158, 0.19225727248336047, 0.19976465218770179, 0.2007370933779415, 0.20295748871701855, 0.18617776029582978, 0.18865048949699872, 0.19762926528004965, 0.1939396816666718, 0.18610734587588837, 0.18954092921865648, 0.19463372248751287, 0.19303715107704897, 0.18441987238846344, 0.1771497015836925, 0.18933746573319854, 0.18919793541946883, 0.1872568415670087, 0.18777939050364248, 0.1944734486848521, 0.18779626376589575, 0.18561507428044557, 0.19230879245933918, 0.19539533908063614, 0.1972683428658515, 0.19269960724813698, 0.2012177951063055, 0.1841005366711804, 0.18548281626567464, 0.1887091321041074, 0.18636568741420254, 0.19166597027490537, 0.1907565634518932, 0.1918718059656689, 0.19193495231041105, 0.18785103898767352, 0.1926086799646677, 0.19332846443430363, 0.19193722777538255, 0.20603307157447756, 0.1930829621132968, 0.20033316623278793, 0.19064817882524793, 0.18998527226878129, 0.1934767057090659, 0.18864950830886515, 0.19250618116413004, 0.19484814103367262, 0.19852172937824342, 0.2020104414447359, 0.1822123620358126, 0.19482740896066122, 0.19295731746063904, 0.20027188598985582, 0.19936560506178697, 0.19116446138995127, 0.18429786748624993, 0.19567710461875448, 0.18855097772190152, 0.19856411516542102, 0.20327971495824315, 0.1985019782508973, 0.19418166819410274, 0.20250111312117774, 0.20190358063382208, 0.1888227603075698, 0.18493430457453353, 0.18968650013998312, 0.1858349748311498, 0.18812776869794318, 0.19682622908059302, 0.19616573180686095, 0.19314658512834093, 0.19882169209261136, 0.1921039342705859, 0.19997336341322297, 0.18284172476563437]"
10,"[0.17934588677365615, 0.188324337546426, 0.18717042847042406, 0.17356339958422456, 0.1860304908799102, 0.1775744018867492, 0.18257345710454873, 0.1880531333656907, 0.19371286716052266, 0.18383883994791872, 0.19131400208765728, 0.18837774218388817, 0.18430610017440535, 0.18168739240268805, 0.18548393221744297, 0.18248502221598867, 0.18158704404477438, 0.1795116149026246, 0.18023874922561448, 0.19116894610843857, 0.18482019789842044, 0.18741771157568138, 0.1825433004770938, 0.1828746606062054, 0.19015291930313677, 0.18401233512384083, 0.18249148702382892, 0.1762407691957687, 0.19490399055430024, 0.1948988149151044, 0.18443211082372749, 0.18120280597073882, 0.177968312728926, 0.18791943109807938, 0.17836473255789143, 0.1741122836179849, 0.1914004942455186, 0.18682521278047573, 0.1739439583687182, 0.1906965949555166, 0.17969997658098077, 0.18692270220018248, 0.17969544774315754, 0.17560398699038748, 0.18636658125824568, 0.1922665094163673, 0.19156849649748547, 0.1819605125735901, 0.1695395189925876, 0.16365309521480512, 0.18237007018395346, 0.1860224475684522, 0.18340737550125885, 0.17276083939487774, 0.1859737261978975, 0.16636901985552466, 0.18785540384339602, 0.1856529832025621, 0.18464477353874215, 0.18317197030887652, 0.17757754814711943, 0.18553511615275523, 0.17765026772107023, 0.17926829900179925, 0.18657250732019298, 0.178829198569193, 0.18260263113780603, 0.1958023516171317, 0.1872868080754209, 0.18865080326091457, 0.18185921178839293, 0.1766399097703567, 0.18874816372087885, 0.19686792021321248, 0.17180949000336695, 0.18887411643788146, 0.18812888785998255, 0.18227575545796504, 0.1881541360693968, 0.17809306252073911, 0.18154128738663902, 0.19782675851181555, 0.1921184238071775, 0.18823706836274498, 0.17733202034194256, 0.1821492505694126, 0.18739288881571017, 0.17708925387679586, 0.1829033034187388, 0.16470114709346345, 0.1793603316765201, 0.18616539666978435, 0.1828483913846068, 0.18167359553201842, 0.18182223794868121, 0.19061216001482192, 0.1863824682450706, 0.179618927301202, 0.17880565350970645, 0.1881801917888567]"
