habitat_code_input,habitat_match_mode,matched_habitats,num_matched_habitats,var_name,n_vascular_species_in_habitat,n_species_with_niche_for_var,notes
MA,prefix,"['MA241', 'MA225', 'MA224', 'MA223', 'MA222']",5,K,70,42,
MA,prefix,"['MA241', 'MA225', 'MA224', 'MA223', 'MA222']",5,KP,70,42,
MA,prefix,"['MA241', 'MA225', 'MA224', 'MA223', 'MA222']",5,N,70,42,
MA,prefix,"['MA241', 'MA225', 'MA224', 'MA223', 'MA222']",5,NK,70,42,
MA,prefix,"['MA241', 'MA225', 'MA224', 'MA223', 'MA222']",5,NP,70,42,
MA,prefix,"['MA241', 'MA225', 'MA224', 'MA223', 'MA222']",5,P,70,42,
N1,prefix,"['N15', 'N1H', 'N18', 'N13', 'N12', 'N14', 'N16', 'N17', 'N1J', 'N1A']",10,K,239,158,
N1,prefix,"['N15', 'N1H', 'N18', 'N13', 'N12', 'N14', 'N16', 'N17', 'N1J', 'N1A']",10,KP,239,158,
N1,prefix,"['N15', 'N1H', 'N18', 'N13', 'N12', 'N14', 'N16', 'N17', 'N1J', 'N1A']",10,N,239,158,
N1,prefix,"['N15', 'N1H', 'N18', 'N13', 'N12', 'N14', 'N16', 'N17', 'N1J', 'N1A']",10,NK,239,158,
N1,prefix,"['N15', 'N1H', 'N18', 'N13', 'N12', 'N14', 'N16', 'N17', 'N1J', 'N1A']",10,NP,239,158,
N1,prefix,"['N15', 'N1H', 'N18', 'N13', 'N12', 'N14', 'N16', 'N17', 'N1J', 'N1A']",10,P,239,158,
N2,prefix,['N21'],1,K,5,1,
N2,prefix,['N21'],1,KP,5,1,
N2,prefix,['N21'],1,N,5,1,
N2,prefix,['N21'],1,NK,5,1,
N2,prefix,['N21'],1,NP,5,1,
N2,prefix,['N21'],1,P,5,1,
N3,prefix,"['N32', 'N35']",2,K,0,0,No vascular-plant species found in plots for this habitat code.
N3,prefix,"['N32', 'N35']",2,KP,0,0,No vascular-plant species found in plots for this habitat code.
N3,prefix,"['N32', 'N35']",2,N,0,0,No vascular-plant species found in plots for this habitat code.
N3,prefix,"['N32', 'N35']",2,NK,0,0,No vascular-plant species found in plots for this habitat code.
N3,prefix,"['N32', 'N35']",2,NP,0,0,No vascular-plant species found in plots for this habitat code.
N3,prefix,"['N32', 'N35']",2,P,0,0,No vascular-plant species found in plots for this habitat code.
Q1,prefix,['Q11'],1,K,5,4,
Q1,prefix,['Q11'],1,KP,5,4,
Q1,prefix,['Q11'],1,N,5,4,
Q1,prefix,['Q11'],1,NK,5,4,
Q1,prefix,['Q11'],1,NP,5,4,
Q1,prefix,['Q11'],1,P,5,4,
Q2,prefix,"['Q22', 'Q24', 'Q25', 'Q23', 'Q21']",5,K,229,155,
Q2,prefix,"['Q22', 'Q24', 'Q25', 'Q23', 'Q21']",5,KP,229,155,
Q2,prefix,"['Q22', 'Q24', 'Q25', 'Q23', 'Q21']",5,N,229,155,
Q2,prefix,"['Q22', 'Q24', 'Q25', 'Q23', 'Q21']",5,NK,229,155,
Q2,prefix,"['Q22', 'Q24', 'Q25', 'Q23', 'Q21']",5,NP,229,155,
Q2,prefix,"['Q22', 'Q24', 'Q25', 'Q23', 'Q21']",5,P,229,155,
Q4,prefix,"['Q41', 'Q42', 'Q44', 'Q43', 'Q45']",5,K,124,104,
Q4,prefix,"['Q41', 'Q42', 'Q44', 'Q43', 'Q45']",5,KP,124,104,
Q4,prefix,"['Q41', 'Q42', 'Q44', 'Q43', 'Q45']",5,N,124,104,
Q4,prefix,"['Q41', 'Q42', 'Q44', 'Q43', 'Q45']",5,NK,124,104,
Q4,prefix,"['Q41', 'Q42', 'Q44', 'Q43', 'Q45']",5,NP,124,104,
Q4,prefix,"['Q41', 'Q42', 'Q44', 'Q43', 'Q45']",5,P,124,104,
Q5,prefix,"['Q51', 'Q52', 'Q53', 'Q54']",4,K,305,192,
Q5,prefix,"['Q51', 'Q52', 'Q53', 'Q54']",4,KP,305,192,
Q5,prefix,"['Q51', 'Q52', 'Q53', 'Q54']",4,N,305,192,
