,Scabiosa lucida,Sesleria albicans,Prunella grandiflora,Carex sempervirens,Avenula pubescens,Carex montana,Gentiana asclepiadea,Campanula rotundifolia,Calamagrostis epigejos,Festuca rubra,Rhinanthus glacialis,Polygaloides chamaebuxus,Serratula tinctoria,Festuca filiformis,Agrostis canina,Bromus erectus,Daucus carota,Carex panicea,Trifolium pratense,Vincetoxicum hirundinaria,Ranunculus acris,Filipendula vulgaris,Amelanchier ovalis,Convolvulus arvensis,Epipactis palustris,Leontodon incanus,Koeleria pyramidata,Trisetum flavescens,Briza media,Trollius europaeus,Carex leporina,Agrimonia eupatoria,Dactylis glomerata,Polygala vulgaris,Buphthalmum salicifolium,Arrhenatherum elatius,Frangula alnus,Thesium rostratum,Heracleum sphondylium,Pinus sylvestris,Festuca ovina,Peucedanum cervaria,Sanguisorba officinalis,Hypochaeris radicata,Carex arenaria,Cerastium semidecandrum,Luzula campestris,Polygonatum odoratum,Carlina acaulis,Gladiolus palustris,Poa pratensis,Holcus lanatus,Angelica sylvestris,Agrostis capillaris,Lotus corniculatus,Equisetum palustre,Carex flacca,Vicia cracca,Hypericum perforatum,Trifolium montanum,Thymus praecox,Pimpinella saxifraga,Rubus caesius,Dactylorhiza incarnata,Aira praecox,Cirsium tuberosum,Gymnadenia conopsea,Platanthera bifolia,Carex nigra,Siler montanum,Pilosella officinarum,Crataegus monogyna,Potentilla erecta,Teucrium montanum,Phragmites australis,Molinia caerulea,Erica arborea,Galium verum,Globularia nudicaulis,Tofieldia calyculata,Plantago lanceolata,Hippocrepis comosa,Danthonia decumbens,Leucanthemum vulgare,Ranunculus polyanthemos,Galium mollugo,Juncus effusus,Betonica officinalis,Schoenus ferrugineus,Centaurea jacea,Carex humilis,Quercus robur,Galium anisophyllon,Senecio sylvaticus,Allium carinatum,Helictochloa pratensis,Viola hirta,Calluna vulgaris,Plantago major,Brachypodium rupestre
Scabiosa lucida,0.0,0.9924459259318285,0.9940780882314363,0.9991276876003393,0.4046295447408476,0.9951466034430612,0.9742453309965898,0.9823545829281644,0.07831462789214919,0.14159350295461068,0.9827572155995454,0.9898331175078917,0.8519707039422806,0.25306379680902075,0.3022974154411205,0.9841288788583208,0.009001601836480475,0.6781378148061469,0.053795729312310435,0.9037066505056323,0.05454035163959247,0.9968229262669216,0.9727731531875395,0.07856173874219233,0.5498796832488443,0.8575996828212179,0.9919584367910996,0.014596997638207399,0.731472639464455,0.9288602160719059,0.03744301518628716,0.04280778769892823,0.0712379389234891,0.7709600761450066,0.9938846632888286,0.0341036836037376,0.7997009989575399,0.9674887139676953,0.04124077768359074,0.7466349393828873,0.14107719352297385,0.9846115716033499,0.61620408229248,0.04179079998534793,0.0812274444966798,0.14209209122346356,0.08056712509178945,0.9459984091708249,0.9432799081916565,0.9922781925195232,0.03152910873016638,0.05720705033166687,0.2782265178676286,0.18013429065113895,0.6113701270655274,0.15378534257407056,0.6631516832583647,0.07940180890075052,0.007671099570424587,0.962237142318336,0.9849095650145583,0.33375220590063764,0.1552780093102969,0.39249663986596844,0.1258308212755783,0.981948230342057,0.9410519465237573,0.7700043685806965,0.2830380000547497,0.9634289862455457,0.2209934611497214,0.14352109827688356,0.6938163091503258,0.9944083415322942,0.31904005900445487,0.798832275870556,0.9843263437732201,0.6096323905651111,0.9673864011897235,0.9809240648179064,0.10616561314674815,0.9904278746523448,0.77916970789678,0.24992543117853763,0.7644454660143912,0.17112501961877566,0.04400786616241794,0.892545702270111,0.9593613857535283,0.6077816922987498,0.9607068913608191,0.38346162710822557,0.9868026837891758,0.13700409492729132,0.9686669049260175,0.9651135391506349,0.8549780210620974,0.8293913337756399,0.027377841783849645,0.9832355739389681
Sesleria albicans,0.9924459259318285,0.0,0.9816742480424461,0.9966826915498661,0.40057574317709194,0.9758866719855728,0.981564723150947,0.9706814422657888,0.0864516220352902,0.14635309166554267,0.9656772252208905,0.9996528764495628,0.847211177779353,0.2553745757640567,0.30115099216869035,0.9665670546555893,0.012484209360986452,0.6661890280539963,0.05989986821098246,0.9046199798973226,0.06119139815134533,0.984036248564374,0.9831911867321906,0.08337092385669471,0.543941589563044,0.9087122374766593,0.9726308489855634,0.019472262961549466,0.7290311643360731,0.9104345333740566,0.04475171780137787,0.050280564419455276,0.0765308310746826,0.7712327426549691,0.9997916980724644,0.03987094033626836,0.7958324217451426,0.9669753362830943,0.046657046559952994,0.7449883443594205,0.14500287074510226,0.9928929773569013,0.6098652151636121,0.048282601280259796,0.0896844476359858,0.14918816120382616,0.08867292057670645,0.9356544588044906,0.9136139416132897,0.982168964776075,0.037721155039612375,0.06401286693177072,0.2778351054233696,0.18337048739308945,0.6125146901009964,0.1582272419563484,0.6612265212421019,0.08625000820915857,0.011081715448873207,0.932573861357392,0.980587406493268,0.33162909779690286,0.15996019762377417,0.38815126033302466,0.1330008202651819,0.9792324594695343,0.9088253281752509,0.7595478736365425,0.2826751989489446,0.9715758043161838,0.22197437784798135,0.14777133291302125,0.6841980408102013,0.9844757634588476,0.31736526998085535,0.793275468714391,0.9984656230348701,0.6093203454424846,0.9889558060958699,0.9713505723673564,0.11134602281425607,0.9668180344800945,0.7606579908042396,0.25031042503400935,0.7641581106211204,0.17476481224874593,0.05105101169898306,0.8818334253410653,0.9703145720047222,0.6077755207269041,0.9826624211482718,0.3793135875936272,0.9616420862230924,0.14451640291604456,0.9406933153229813,0.9394127504593918,0.8707525762487083,0.8424980293383596,0.03229110587351955,0.9866308676041575
Prunella grandiflora,0.9940780882314363,0.9816742480424461,0.0,0.991696957098974,0.46280239259857353,0.9934992146297363,0.9823890840762932,0.9964031251289891,0.11162331273746094,0.1823008226488438,0.9969871011944824,0.9764528329811023,0.8931371397446367,0.31711335191780904,0.35842357183664625,0.9974716504488317,0.01623043825461966,0.7387093395126852,0.07702892281556908,0.9345263482520627,0.07896450855111771,0.9994024897018663,0.9433442731285585,0.10491239396942974,0.6077478238325933,0.8125819804667301,0.9980377104224272,0.02543126189829928,0.7800361175735468,0.9626721922257339,0.05846958012095469,0.06557507021082655,0.09700721357924133,0.8153191312825315,0.9821068306213666,0.0517475543323563,0.8452852106444673,0.93573362878047,0.060118461944729785,0.7938091996601935,0.17898094356872377,0.9617940513604868,0.6729175356989614,0.06265576085161237,0.11592295555280478,0.189528241321932,0.11439735317215209,0.9116880790263496,0.9218638904863602,0.9995843015897988,0.04916054010080939,0.08258948926047338,0.3293171519331984,0.22506742431465504,0.6584848622208237,0.19647986496266942,0.713391915442295,0.11039576053858195,0.014375014062672215,0.9838705445634013,0.9951672245937468,0.38950753218386636,0.19913427465314013,0.4536310754386141,0.16918479916318335,0.9930334440913288,0.9705875290537188,0.8227775237233701,0.3395326825003863,0.929697996203354,0.2637442528476685,0.18308013136726722,0.7510331150709558,0.9789919953151766,0.374158932764258,0.8456882033479035,0.9722712503272712,0.6585618494962433,0.9428211272633054,0.9952193031891943,0.13969214483905368,0.9881674669245893,0.8366525542689026,0.2974795529566791,0.8096007087421018,0.2153395112642001,0.0663853744162377,0.931159284907678,0.9706478911956155,0.6563252326856884,0.9311595363147595,0.44500117541310996,0.9813156750671951,0.18415910850788003,0.9877951038146104,0.9870107483849465,0.8820611667384307,0.8605594646775534,0.04187523460483048,0.9897232319294207
Carex sempervirens,0.9991276876003393,0.9966826915498661,0.991696957098974,0.0,0.4052056134414034,0.9902269703255877,0.9786264843666703,0.9803530165901394,0.08201477526100552,0.14439342216029485,0.9788694182223022,0.9948048119876873,0.8526678415340754,0.2558015294590766,0.30366884441290715,0.9800573668694702,0.01030183400879258,0.676489542750427,0.056485864827867695,0.9062077328769439,0.05745055155694272,0.9942557527113556,0.977800826119775,0.08092232708747274,0.550038902941671,0.8760745162097152,0.9871442039085224,0.016464368331034908,0.7329180064779003,0.9247963000995796,0.040457630560215216,0.04593594444509022,0.07374000150388624,0.7732987260883395,0.9975531556081139,0.03650037383590496,0.800709108456276,0.9687312237563694,0.043563841999260104,0.7483447750710016,0.14351245715593888,0.9889691730206618,0.6163091688928702,0.04453166205189267,0.08508256532385011,0.14590377279860642,0.08427379191207147,0.9437376755588301,0.9342080832481697,0.99071698732415,0.03406287386924534,0.06019991443883072,0.27969776873892155,0.18256583668608894,0.6137981469629155,0.15654326451131034,0.6646969227709382,0.08259007431282742,0.008925450720030679,0.9539846463845276,0.9853858350911718,0.3348244945138587,0.15815325329602192,0.3930219813517555,0.1295315033302713,0.9829845384269134,0.9319989363932432,0.7688567878787346,0.2846627813701135,0.9676491747495843,0.2226473030611587,0.14611554721592615,0.6929297769117905,0.9925659892959139,0.32022900467815735,0.7992898452943415,0.9907566608274943,0.6116070420260219,0.9761868543926431,0.9796534780404066,0.10887627879162415,0.9839415623565492,0.7753250447714604,0.2515349746757474,0.7666012229189052,0.1736662111374689,0.04698083948337862,0.8912104754661856,0.9649830800863055,0.6098479855914635,0.9696124126645186,0.38405073366468506,0.9796990972207242,0.1409497213860773,0.9609825543206236,0.9582919155769549,0.8622704467895433,0.8358364525282238,0.029393134916500637,0.9862809444379903
Avenula pubescens,0.4046295447408476,0.40057574317709194,0.46280239259857353,0.4052056134414034,0.0,0.40312730516461875,0.5309709611116841,0.5161614835169275,0.8782109252846259,0.9237981207181897,0.4993908745679978,0.38762729564511833,0.781220314266367,0.9585462699472277,0.9921031635015618,0.4923973032364152,0.6140772741470581,0.9050355647086172,0.8037997224681859,0.7110152275768555,0.8191013205705946,0.44205077646283725,0.2995404522076948,0.8113296897250629,0.9825848203727923,0.21328882119271905,0.44490428716398744,0.6859421367789743,0.9057022627547089,0.6232178995951595,0.7965729348151509,0.8104681727391212,0.8134947838373968,0.8775972499522015,0.392347872444164,0.7539153473505875,0.8432447425532802,0.2788712422621654,0.7549983843022099,0.8954651145984571,0.9046468147474102,0.3326570332140793,0.9606593817853873,0.7903982592789797,0.8830232767319985,0.9354253913105612,0.8811404818490681,0.25413737928306585,0.2809579108262044,0.477500964577529,0.7617712720157868,0.8274021784326471,0.9796992306308681,0.9465112827002529,0.9651294971567227,0.9342525099152225,0.9478670852243959,0.8669735020551333,0.6115219686548161,0.495698947269763,0.5134366058060121,0.9952178331565211,0.9390738224969848,0.9979698318145012,0.9259800525415977,0.524114836887393,0.5264879515126248,0.8498548537366358,0.9891918639447824,0.27623558556775957,0.9325901730682581,0.9167342111274589,0.9087950155302756,0.3494128079863578,0.9930415019720951,0.8399575245785923,0.40062940279851245,0.9680490374520847,0.33136719880628374,0.524776947033823,0.8778233697145056,0.3894512325576023,0.7986737821510543,0.9631004550369092,0.8826525751390453,0.9425743255537785,0.8064872975676136,0.7091528775920946,0.567886391654765,0.9681101770681374,0.30420409617639954,0.9971941713630986,0.3695064915639402,0.9310766527658628,0.4888218735242175,0.5132618613092023,0.7682136081987028,0.8092650699473768,0.7066954878532405,0.5078880141557118
Carex montana,0.9951466034430612,0.9758866719855728,0.9934992146297363,0.9902269703255877,0.40312730516461875,0.0,0.9588602565211795,0.9814422544562946,0.07066950181195332,0.135892049386417,0.9862084473751322,0.9714679914246406,0.847017671596062,0.24738584103535272,0.2994744946277191,0.9879524503442784,0.006587599663949726,0.6802237882449877,0.04836583237020785,0.8940356325728314,0.0486434127121146,0.9964491443620761,0.9527119474906081,0.0738131437961041,0.548484722824918,0.8076383487800481,0.9970642998479211,0.011033932336764576,0.7258495376886477,0.933996706257108,0.031378044951982875,0.03647961487841929,0.06619366916068611,0.7629958029843719,0.9784717855382153,0.029327487381269016,0.7945365203448386,0.9555876133153535,0.03659606841985457,0.7402919521163046,0.13615314257457944,0.9666986108582561,0.6145119135143576,0.03627805381701134,0.07323240194236491,0.13412622203323316,0.07290472358949557,0.9419585186646401,0.9570404804244084,0.9899151084641601,0.026485732572589876,0.05113005628180888,0.27516524298757283,0.17520226548542123,0.604243684548993,0.14816903433464895,0.6577621437891744,0.07288226067554159,0.00537766659571469,0.9765961834437065,0.9781627886747253,0.3314373635597905,0.1494063365025582,0.39127010860765743,0.11813858646646676,0.9740184890230129,0.9578872815102993,0.7701207020643895,0.2797380503557351,0.9446431526643001,0.21757961472760376,0.13825959639051008,0.6939424611604136,0.9910616712582645,0.3165197648654353,0.794944230206912,0.9629768952084733,0.6035636178912958,0.9398426670883482,0.978366973546069,0.10066838638897042,0.998999462766301,0.785659081611212,0.24659843635456935,0.7569480121455197,0.16596505771650596,0.03800205493294795,0.8918168927729996,0.9416060033647274,0.6015105094580901,0.9323687399149545,0.3821504540638695,0.9966688806072576,0.12873484740898383,0.9814794716584752,0.9760051884904941,0.8352579040959244,0.8117904698587016,0.02340093400251497,0.9705905894628318
Gentiana asclepiadea,0.9742453309965898,0.981564723150947,0.9823890840762932,0.9786264843666703,0.5309709611116841,0.9588602565211795,0.0,0.987425334433516,0.18735947818882415,0.25571355752641045,0.9790773451176701,0.9777002200761783,0.928075934866288,0.40398800687721653,0.43228646837105666,0.9779580410929457,0.04869006572226978,0.7852457133704408,0.13580356211292635,0.9670463475565322,0.14106656429386805,0.9783075829713478,0.9331626759895865,0.16233835905762706,0.6684218587384253,0.8523835981573885,0.9694048417596696,0.06826318415203467,0.8321578868987665,0.9616813083872737,0.12023189712904123,0.12943327863244022,0.15548341485269498,0.8666931092488621,0.9785418495189876,0.10368655939820397,0.8887418188318609,0.9082080852252638,0.11158192945204638,0.8454308816720654,0.2470631245310743,0.9531551953876072,0.7296588023289042,0.12073650260059146,0.19387679561823778,0.27503840427241805,0.19051804525066035,0.869123200996236,0.8596225682646261,0.9869554324774947,0.10314908882353517,0.1462217530183646,0.40016023272335705,0.29884415242079804,0.7200931406651995,0.2710896565930132,0.7707903180935108,0.1798230026813024,0.04650215207619797,0.9513808384256749,0.9949806549296929,0.4605561825129483,0.27552799688128327,0.5240040396675121,0.25142193028378745,0.9964022267494813,0.9405359833995377,0.8616137103738947,0.41558270377113693,0.9133651625390585,0.3290669160432918,0.2538897357511749,0.7988089087331842,0.9483995780825747,0.44574731903595327,0.8871940602267961,0.981544477981694,0.7194167667232404,0.9531751000064765,0.9900490426081021,0.20657175921333587,0.9464155987125945,0.8628379891222825,0.36660797286879926,0.8610080912240431,0.28941768851904975,0.1281414189073756,0.9505056873997724,0.9981053305331357,0.7174043897505261,0.9382024852685216,0.5162467013165353,0.9349562160768708,0.2704060609238337,0.9560033222688914,0.9614647347602671,0.9395741746467194,0.9189640782297699,0.08685191480691012,0.9988866422440922
Campanula rotundifolia,0.9823545829281644,0.9706814422657888,0.9964031251289891,0.9803530165901394,0.5161614835169275,0.9814422544562946,0.987425334433516,0.0,0.1518301147607844,0.22640223062392859,0.9987824212272284,0.9640335637826408,0.9250693476091646,0.37979063610704566,0.41223312326700534,0.998334726568914,0.028201573403058275,0.7873649127831432,0.10619123078408277,0.9585028054117016,0.10978039492703305,0.9928997021060678,0.918842393010678,0.13568079604163424,0.6584610743260755,0.7876609178300532,0.9922002264579117,0.04240104590367777,0.821439298259434,0.9813334859707469,0.08706370890620564,0.09584546930852285,0.12768913189886463,0.8533909576814313,0.9698092590667398,0.07553487751002666,0.8823819987843003,0.9066728086315168,0.08457761722202535,0.8340485287095325,0.21984540863955193,0.9415883558131072,0.7216101642338918,0.09013279369539212,0.15764156492233444,0.24135225092032903,0.1550374929879349,0.8783736924600261,0.8920271748433031,0.9979391352702038,0.07347891644269153,0.11442744868855506,0.3790951827191208,0.2718923764515007,0.7015470543999358,0.242154493772584,0.7574800158312298,0.1473477072890972,0.02588633114000864,0.9872175522634431,0.9980644232327984,0.4422392359449016,0.2460411586760421,0.5095718276106636,0.21749729309333574,0.9972179312426711,0.9796104577007289,0.8639499563172757,0.3942183079620297,0.9015484385694538,0.30680255008258456,0.22573372237971415,0.7976393978529903,0.9591440901801819,0.42665725570432117,0.8832497146974988,0.9622023100334787,0.7027644782899719,0.9249747493658955,0.9997889628340574,0.17750594568310432,0.9742090716340084,0.8779727320936733,0.34457809723354577,0.8482768264068562,0.2618049582445889,0.09582240850255407,0.9577534308250769,0.979781406810381,0.7003124886439567,0.909669054458278,0.5014640712841886,0.9643613164095723,0.23603685458605075,0.9896861968276897,0.9921320015888562,0.9085104389377353,0.89026638610368,0.06183331719950595,0.9919649668135266
Calamagrostis epigejos,0.07831462789214919,0.0864516220352902,0.11162331273746094,0.08201477526100552,0.8782109252846259,0.07066950181195332,0.18735947818882415,0.1518301147607844,0.0,0.982707265842009,0.13362386152618427,0.08008151368152135,0.44306867964373053,0.8660034492607601,0.9270308278922751,0.12806403347244627,0.7867346984815067,0.61243991220785,0.944832749669952,0.3662142803560065,0.966377699941027,0.09757639442770336,0.03552983671387923,0.9128856570959669,0.78606052794917,0.01874927328204657,0.09471882477549216,0.8849330488875186,0.633636813185498,0.23820696658275053,0.9766764420346123,0.9822349215278798,0.9270459015923003,0.5937554001213545,0.08009297362579314,0.9160428673508738,0.5314371609808721,0.024977614226898464,0.8977101197485439,0.6182328244130723,0.9629116336015908,0.0491067196509116,0.7300176385318783,0.9532139253636748,0.9987959567099558,0.9724219432603295,0.9999710834494342,0.016559654692729516,0.020377275374269335,0.1239615302733674,0.9383809746830368,0.9729795839246647,0.9403022877585447,0.9736519499399684,0.7702193195411248,0.9821780937923099,0.7142304830142835,0.9879705820208893,0.796318862001675,0.12007498615414475,0.15759844136396522,0.9161408847670777,0.9842288317301513,0.8703006753874993,0.9883829839760919,0.16837477096271825,0.13959166832630013,0.5271882401705731,0.9317601788770363,0.026299346503546126,0.9328760514688198,0.9741146570084689,0.6231959508337056,0.04874220545625074,0.9230872858099016,0.5229236284749255,0.0919545201034953,0.7691930634691364,0.055819134242543755,0.1610544106548781,0.9665960725420203,0.061534789020125484,0.4387449096492583,0.9444166063654325,0.6005087734696035,0.9766124282008846,0.9727385871485066,0.3422437957689892,0.22798732244790365,0.7713153807663408,0.04249123591081764,0.8720507370353623,0.05162762128143718,0.9702136835022608,0.11677126243358006,0.1359280137462806,0.47437794669296174,0.5245718069003851,0.8586945998331534,0.16200905128323762
Festuca rubra,0.14159350295461068,0.14635309166554267,0.1823008226488438,0.14439342216029485,0.9237981207181897,0.135892049386417,0.25571355752641045,0.22640223062392859,0.982707265842009,0.0,0.20885103771601182,0.13816672550961923,0.5145470887379452,0.8812605502535682,0.9605915872460754,0.20287708698864387,0.8224197428817391,0.6773649467896276,0.9619301284188503,0.43746870792742065,0.9718777448395182,0.16626983265655423,0.08128942618392708,0.9523560085145316,0.8421332074346034,0.0481860875896997,0.16530404087565395,0.8873503966356898,0.6987173771768621,0.3197491169130303,0.957076300882745,0.9642703321452525,0.9592554178589554,0.6599542975464929,0.1394304237815049,0.9333028654777735,0.5997411500450153,0.06756891642759923,0.9281738092338168,0.683803671853082,0.9937193950539953,0.10031864519957939,0.7896267413431535,0.9573594139960896,0.9777640950307279,0.9642184637186839,0.9832989881381561,0.05458363391148308,0.06486572293080237,0.19527846380925237,0.9407759240436131,0.9757863830790052,0.9796505334796488,0.9977566120272603,0.8361355181111676,0.9994212107786107,0.7776395349821892,0.9902944530477529,0.8223481485404788,0.1992020447469642,0.2294622644251417,0.9561787556880524,0.9975875138642727,0.9110795192668153,0.9804710792936194,0.2401913801571971,0.22272185693206972,0.5970493386057398,0.960386779661081,0.06804667888870118,0.9815461609619254,0.9984764215963572,0.6877239138263256,0.10449982207153075,0.9617964552175773,0.5918656854885597,0.15047520420085916,0.8335130998185224,0.10533585905844431,0.23537607114316622,0.990359751388889,0.12548452587823195,0.5163296792868329,0.9863195674896709,0.6665603208569678,0.9985289476215159,0.965302878215026,0.4191379474876612,0.29565037855943893,0.835987674268278,0.08814547218354221,0.9112883961932675,0.11258629511370233,0.9593174862561491,0.19460939112952333,0.21528097255306,0.5394333112620873,0.5903024548954067,0.894042879029483,0.23092512981976193
